Component RT,Base Peak MZ,Component Area,Compound Name,Match Factor,File Name,CAS#,Library File
3.92358256727591,46.94,130487.957821918,Dimethylphosphinic fluoride,77.4593402225875,VINF1 4H + 400 ng NA run 4-20-23.D,753-70-8,NIST17.L
3.92654068702397,81.07,131606.79999681,"Furan, 2-ethyl-",87.3153605473511,FNI5 4H + 400 ng NA run 4-20-23.D,3208-16-0,NIST17.L
3.92896588314176,81,61215.2458529348,"Furan, 2-ethyl-",84.0619237142636,VINF4 4H + 400 ng NA run 4-20-23.D,3208-16-0,NIST17.L
3.93041267677832,81.06,24483.0043679453,"Furan, 2-ethyl-",79.0261442446592,VINF3 4H + 400 ng NA run 4-20-23.D,3208-16-0,NIST17.L
3.94095354814865,81.07,85296.1077637101,"Furan, 2-ethyl-",85.5983470621775,VINF2 4H + 400 ng NA run 4-20-23.D,3208-16-0,NIST17.L
3.94987975138681,57,39365.7754102919,3-Pentanone,96.2481511580547,VINF3 4H + 400 ng NA run 4-20-23.D,96-22-0,NIST17.L
3.95659893239175,57.04,105896.176318324,3-Pentanone,94.3083752265571,VINF2 4H + 400 ng NA run 4-20-23.D,96-22-0,NIST17.L
4.08075056545622,45.05,49113.5236845064,Acetoin,96.1880294496798,FINF1 4H + 400 ng NA run 4-20-23.D,513-86-0,NIST17.L
4.08175198335762,45.05,110373.67770729,Acetoin,97.3627994050749,FINF3 4H + 400 ng NA run 4-20-23.D,513-86-0,NIST17.L
4.08812064714228,45.06,105299.532465898,Acetoin,97.5655678454088,VINF4 4H + 400 ng NA run 4-20-23.D,513-86-0,NIST17.L
4.08875290430833,45,44515.0290045932,Acetoin,90.1614112568835,VINF1 4H + 400 ng NA run 4-20-23.D,513-86-0,NIST17.L
4.09003292198978,45,29801.7301203822,Acetoin,90.3838724574499,VINF3 4H + 400 ng NA run 4-20-23.D,513-86-0,NIST17.L
4.09086426589492,45.05,59903.5377481323,Acetoin,96.1441035684295,FINF4 4H + 400 ng NA run 4-20-23.D,513-86-0,NIST17.L
